NU_ID;NU_NR;HH021;HH071_1;HH071_2;HH071_3;HH071_4;ADR_KEITE
40104000.0;401040.0;1.0;2.0;;;;NE
40203600.0;402036.0;5.0;2.0;;;;NE
30140300.0;301403.0;1.0;2.0;;;;NE
30122400.0;301224.0;2.0;1.0;100.0;;12.0;NE
10157700.0;101577.0;2.0;1.0;240.0;;12.0;NE
10271400.0;102714.0;1.0;2.0;;;;NE
20100100.0;201001.0;1.0;2.0;;;;NE
20295600.0;202956.0;1.0;2.0;;;;NE
40261900.0;402619.0;1.0;2.0;;;;NE
30188200.0;301882.0;1.0;2.0;;;;NE
20068700.0;200687.0;1.0;2.0;;;;NE
30289900.0;302899.0;1.0;2.0;;;;NE
40200500.0;402005.0;1.0;2.0;;;;NE
40236900.0;402369.0;1.0;2.0;;;;NE
30036500.0;300365.0;3.0;2.0;;;;NE
20315000.0;203150.0;4.0;2.0;;;;NE
20315200.0;203152.0;5.0;2.0;;;;NE
20169200.0;201692.0;1.0;2.0;;;;NE
20075700.0;200757.0;1.0;2.0;;;;NE
20099100.0;200991.0;1.0;2.0;;;;NE
20119800.0;201198.0;2.0;1.0;1000.0;;12.0;NE
30221700.0;302217.0;5.0;2.0;;;;NE
10309200.0;103092.0;5.0;2.0;;;;NE
40018700.0;400187.0;1.0;2.0;;;;NE
40272800.0;402728.0;1.0;2.0;;;;NE
40150200.0;401502.0;2.0;1.0;60.0;;12.0;NE
30036600.0;300366.0;1.0;2.0;;;;NE
10103700.0;101037.0;1.0;2.0;;;;NE
10049700.0;100497.0;1.0;2.0;;;;NE
40131500.0;401315.0;1.0;2.0;;;;NE
20009800.0;200098.0;2.0;1.0;;12.0;12.0;NE
10247700.0;102477.0;1.0;2.0;;;;NE
10193600.0;101936.0;1.0;2.0;;;;NE
20058100.0;200581.0;1.0;2.0;;;;NE
10014500.0;100145.0;1.0;2.0;;;;NE
20043300.0;200433.0;1.0;2.0;;;;NE
10193500.0;101935.0;1.0;2.0;;;;NE
20200800.0;202008.0;1.0;2.0;;;;NE
40093000.0;400930.0;2.0;1.0;170.0;;12.0;NE
10335800.0;103358.0;1.0;2.0;505.0;;;NE
30153100.0;301531.0;1.0;2.0;;;;NE
10023800.0;100238.0;1.0;2.0;505.0;;;NE
40338600.0;403386.0;4.0;2.0;;;;NE
10315200.0;103152.0;1.0;2.0;;;;TAIP
20011300.0;200113.0;1.0;2.0;;;;NE
20215900.0;202159.0;1.0;2.0;;;;NE
